Nr.,Wohnbauträger,Projektname,Adresse,Link
37,Ooewohnbau,,,https://ooewohnbau.at/immobiliensuche
38,Ooewohnbau,Google,,https://ooewohnbau.at/immobiliensuche
39,Ooewohnbau,_ga,,https://ooewohnbau.at/immobiliensuche
40,Ooewohnbau,_ga,,https://ooewohnbau.at/immobiliensuche
41,Ooewohnbau,Maximale Speicherdauer,,https://ooewohnbau.at/immobiliensuche
42,Ooewohnbau,_ga_#,,https://ooewohnbau.at/immobiliensuche
43,Ooewohnbau,_gat,,https://ooewohnbau.at/immobiliensuche
44,Ooewohnbau,Maximale Speicherdauer,,https://ooewohnbau.at/immobiliensuche
45,Ooewohnbau,_gid,,https://ooewohnbau.at/immobiliensuche
46,Ooewohnbau,Marketing,,https://ooewohnbau.at/immobiliensuche
47,Ooewohnbau,,,https://ooewohnbau.at/immobiliensuche
48,Ooewohnbau,"Meta Platforms, Inc.",,https://ooewohnbau.at/immobiliensuche
49,Ooewohnbau,"Meta Platforms, Inc.",,https://ooewohnbau.at/immobiliensuche
50,Ooewohnbau,lastExternalReferrer,,https://ooewohnbau.at/immobiliensuche
51,Ooewohnbau,lastExternalReferrer,,https://ooewohnbau.at/immobiliensuche
52,Ooewohnbau,Maximale Speicherdauer,,https://ooewohnbau.at/immobiliensuche
53,Ooewohnbau,lastExternalReferrerTime,,https://ooewohnbau.at/immobiliensuche
54,Ooewohnbau,topicsLastReferenceTime,,https://ooewohnbau.at/immobiliensuche
55,Ooewohnbau,_fbc,,https://ooewohnbau.at/immobiliensuche
56,Ooewohnbau,Maximale Speicherdauer,,https://ooewohnbau.at/immobiliensuche
57,Ooewohnbau,_fbp,,https://ooewohnbau.at/immobiliensuche
58,Ooewohnbau,Adform,,https://ooewohnbau.at/immobiliensuche
59,Ooewohnbau,"Verwendet, um zu überprüfen, ob der Browser des Benutzers Cookies unterstützt.",,https://ooewohnbau.at/immobiliensuche
60,Ooewohnbau,"Verwendet, um zu überprüfen, ob der Browser des Benutzers Cookies unterstützt.",,https://ooewohnbau.at/immobiliensuche
61,Ooewohnbau,Maximale Speicherdauer,,https://ooewohnbau.at/immobiliensuche
62,Ooewohnbau,uid,,https://ooewohnbau.at/immobiliensuche
63,Ooewohnbau,Maximale Speicherdauer,,https://ooewohnbau.at/immobiliensuche
64,Ooewohnbau,YouTube,,https://ooewohnbau.at/immobiliensuche
65,Ooewohnbau,#-#,,https://ooewohnbau.at/immobiliensuche
66,Ooewohnbau,#-#,,https://ooewohnbau.at/immobiliensuche
67,Ooewohnbau,Maximale Speicherdauer,,https://ooewohnbau.at/immobiliensuche
68,Ooewohnbau,iU5q-!O9@$,,https://ooewohnbau.at/immobiliensuche
69,Ooewohnbau,LAST_RESULT_ENTRY_KEY,,https://ooewohnbau.at/immobiliensuche
70,Ooewohnbau,Maximale Speicherdauer,,https://ooewohnbau.at/immobiliensuche
71,Ooewohnbau,nextId,,https://ooewohnbau.at/immobiliensuche
72,Ooewohnbau,requests,,https://ooewohnbau.at/immobiliensuche
73,Ooewohnbau,TESTCOOKIESENABLED,,https://ooewohnbau.at/immobiliensuche
74,Ooewohnbau,yt.innertube::nextId,,https://ooewohnbau.at/immobiliensuche
75,Ooewohnbau,ytidb::LAST_RESULT_ENTRY_KEY,,https://ooewohnbau.at/immobiliensuche
76,Ooewohnbau,YtIdbMeta#databases,,https://ooewohnbau.at/immobiliensuche
77,Ooewohnbau,Maximale Speicherdauer,,https://ooewohnbau.at/immobiliensuche
78,Ooewohnbau,yt-remote-cast-available,,https://ooewohnbau.at/immobiliensuche
79,Ooewohnbau,yt-remote-cast-installed,,https://ooewohnbau.at/immobiliensuche
80,Ooewohnbau,yt-remote-connected-devices,,https://ooewohnbau.at/immobiliensuche
81,Ooewohnbau,yt-remote-device-id,,https://ooewohnbau.at/immobiliensuche
82,Ooewohnbau,yt-remote-fast-check-period,,https://ooewohnbau.at/immobiliensuche
83,Ooewohnbau,yt-remote-session-app,,https://ooewohnbau.at/immobiliensuche
84,Ooewohnbau,yt-remote-session-name,,https://ooewohnbau.at/immobiliensuche
85,Ooewohnbau,Nicht klassifiziert,,https://ooewohnbau.at/immobiliensuche
86,Ooewohnbau,Nicht klassifiziert,,https://ooewohnbau.at/immobiliensuche
87,Ooewohnbau,,,https://ooewohnbau.at/immobiliensuche
88,Ooewohnbau,"Meta Platforms, Inc.",,https://ooewohnbau.at/immobiliensuche
89,Ooewohnbau,"Meta Platforms, Inc.",,https://ooewohnbau.at/immobiliensuche
90,Ooewohnbau,multiFbc,,https://ooewohnbau.at/immobiliensuche
91,Ooewohnbau,YouTube,,https://ooewohnbau.at/immobiliensuche
92,Ooewohnbau,yt-player-user-settings,,https://ooewohnbau.at/immobiliensuche
93,Ooewohnbau,Domainübergreifende Zustimmung,,https://ooewohnbau.at/immobiliensuche
94,Ooewohnbau,"Liste der Domains, für die Ihre Zustimmung gilt:",,https://ooewohnbau.at/immobiliensuche
95,Ooewohnbau,Die Cookie-Erklärung wurde das letzte Mal am 6/30/25 von,,https://www.cookiebot.com
96,Ooewohnbau,[#IABV2_TITLE#],,https://ooewohnbau.at/immobiliensuche
97,Ooewohnbau,[#IABV2_TITLE#],,https://ooewohnbau.at/immobiliensuche
98,Ooewohnbau,[#IABV2_BODY_LEGITIMATE_INTEREST_INTRO#],,https://ooewohnbau.at/immobiliensuche
99,Ooewohnbau,[#IABV2_BODY_PREFERENCE_INTRO#],,https://ooewohnbau.at/immobiliensuche
100,Ooewohnbau,[#IABV2_LABEL_PURPOSES#],,https://ooewohnbau.at/immobiliensuche
101,Ooewohnbau,[#IABV2_LABEL_PURPOSES#],,https://ooewohnbau.at/immobiliensuche
102,Ooewohnbau,[#IABV2_LABEL_FEATURES#],,https://ooewohnbau.at/immobiliensuche
103,Ooewohnbau,[#IABV2_LABEL_FEATURES#],,https://ooewohnbau.at/immobiliensuche
104,Ooewohnbau,[#IABV2_LABEL_PARTNERS#],,https://ooewohnbau.at/immobiliensuche
105,Ooewohnbau,[#IABV2_LABEL_PARTNERS#],,https://ooewohnbau.at/immobiliensuche
106,Ooewohnbau,Über Cookies,,https://ooewohnbau.at/immobiliensuche
107,Ooewohnbau,Meine persönlichen Daten nicht verkaufen oder weitergeben,,https://ooewohnbau.at/immobiliensuche
108,Ooewohnbau,Meine persönlichen Daten nicht verkaufen oder weitergeben,,https://ooewohnbau.at/immobiliensuche
109,Ooewohnbau,Anpassen,,https://ooewohnbau.at/immobiliensuche
110,Ooewohnbau,Kundencenter,"Blumauerstraße 46, 4020 Linz",https://ooewohnbau.at/immobiliensuche#content
111,Ooewohnbau,Kundencenter,,https://ooewohnbau.at/start
112,Ooewohnbau,Kundencenter,,https://ooewohnbau.at/start
113,Ooewohnbau,Kundencenter,,tel:+437327008680
114,Ooewohnbau,Kundencenter,,tel:+437327008680
115,Ooewohnbau,Immobiliensuche,,https://ooewohnbau.at/immobiliensuche
116,Ooewohnbau,Unternehmen,,https://ooewohnbau.at/unternehmen
117,Ooewohnbau,Ansprechpersonen,,https://ooewohnbau.at/unternehmen/ansprechpersonen
118,Ooewohnbau,Hausverwaltung,,https://ooewohnbau.at/hausverwaltung
119,Ooewohnbau,Wohn- und Kommunalbau,,https://ooewohnbau.at/wohnbau
120,Ooewohnbau,Referenzen Kommunalbau,,https://ooewohnbau.at/wohnbau/referenzen-kommunalbau
121,Ooewohnbau,"Alkoven, Am Dorfplatz 2 - geförderte Mietwohnungen",,https://ooewohnbau.at/start
122,Ooewohnbau,"Alkoven, Am Dorfplatz 2 - geförderte Mietwohnungen",,https://ooewohnbau.at/immobiliensuche#panel-filter
123,Ooewohnbau,Filtern,,https://ooewohnbau.at/immobiliensuche#panel-filter
124,Ooewohnbau,Filtern,,https://ooewohnbau.at/immobiliensuche#panel-filter
125,Ooewohnbau,Lage,,https://ooewohnbau.at/immobiliensuche#panel-lage
126,Ooewohnbau,Lage,,https://ooewohnbau.at/immobiliensuche#panel-lage
127,Ooewohnbau,Braunau,,https://ooewohnbau.at/immobiliensuche
128,Ooewohnbau,Rechtsform,,https://ooewohnbau.at/immobiliensuche#panel-rechtsform
129,Ooewohnbau,Miete,,https://ooewohnbau.at/immobiliensuche
130,Ooewohnbau,Größe,,https://ooewohnbau.at/immobiliensuche#panel-groesse
131,Ooewohnbau,Wohnen,,https://ooewohnbau.at/immobiliensuche
132,Ooewohnbau,Ausstattung,,https://ooewohnbau.at/immobiliensuche#panel-ausstattung
133,Ooewohnbau,Fußbodenheizung,,https://ooewohnbau.at/immobiliensuche
134,Ooewohnbau,"Alkoven, Am Dorfplatz 2 - geförderte Mietwohnungen",,https://ooewohnbau.at/immobiliensuche?tx_immobilienplugin_list%5B%40widget_0%5D%5BcurrentPage%5D=2&cHash=16a37e9120c28f095604215ea23e2fbe
135,Ooewohnbau,"Alkoven, Am Dorfplatz 2 - geförderte Mietwohnungen",,https://ooewohnbau.at/immobiliensuche/details/alkoven-am-dorfplatz-gefoerderte-wohnungen
136,Ooewohnbau,"Alkoven, Am Dorfplatz 2 - geförderte Mietwohnungen",,https://ooewohnbau.at/immobiliensuche
137,Ooewohnbau,Im Ortsteil Straßham plant die OÖ Wohnbau die Realisierung von ...,,https://ooewohnbau.at/immobiliensuche
138,Ooewohnbau,"Andorf, Raaber Straße - 27 geförderte Miet- und Mietkaufwohnungen",,https://ooewohnbau.at/immobiliensuche/details/wohnungen-andorf-gefoerderte-miet-mietkaufwohnungen
139,Ooewohnbau,"Andorf, Raaber Straße - 27 geförderte Miet- und Mietkaufwohnungen",,https://ooewohnbau.at/immobiliensuche
140,Ooewohnbau,,,https://ooewohnbau.at/immobiliensuche
141,Ooewohnbau,Übergabe August 2026,,https://ooewohnbau.at/immobiliensuche/details/ansfelden-widistrasse-17-doppel-und-reihenhaeuser-/-eigentum-ff-und-miete-mit-kaufoption-ff
142,Ooewohnbau,"Ansfelden, Widistraße -",,https://ooewohnbau.at/immobiliensuche
143,Ooewohnbau,,,https://ooewohnbau.at/immobiliensuche
144,Ooewohnbau,"Bad Leonfelden, Hochstraße 3 - 15 geförderte Mietwohnungen mit Kaufoption",,https://ooewohnbau.at/immobiliensuche/details/wohnungen-bad-leonfelden-hochstrasse-gefoerderte-mietkaufwohnungen
145,Ooewohnbau,"Bad Leonfelden, Hochstraße 3 - 15 geförderte Mietwohnungen mit Kaufoption",,https://ooewohnbau.at/immobiliensuche
146,Ooewohnbau,,,https://ooewohnbau.at/immobiliensuche
147,Ooewohnbau,"Grieskirchen, Keplerweg - 21 geförderte Eigentumswohnungen",,https://ooewohnbau.at/immobiliensuche/details/eigentumswohnungen-in-grieskirchen-21-gefoerderte-eigentumswohnungen-in-grieskirchen
148,Ooewohnbau,"Grieskirchen, Keplerweg - 21 geförderte Eigentumswohnungen",,https://ooewohnbau.at/immobiliensuche
149,Ooewohnbau,,,https://ooewohnbau.at/immobiliensuche
150,Ooewohnbau,"Hörsching, Brucknerplatz - Eigentum förderbar oder Miete mit Kaufoption",,https://ooewohnbau.at/immobiliensuche/details/hoersching-brucknerplatz-28-gefoerderte-eigentumswohnungen
151,Ooewohnbau,"Hörsching, Brucknerplatz - Eigentum förderbar oder Miete mit Kaufoption",,https://ooewohnbau.at/immobiliensuche
152,Ooewohnbau,,,https://ooewohnbau.at/immobiliensuche
153,Ooewohnbau,"Hörsching, Brucknerplatz - Geschäftsfläche Eigentum oder Miete",,https://ooewohnbau.at/immobiliensuche/details/geschaeftsflaeche-in-hoersching
154,Ooewohnbau,"Hörsching, Brucknerplatz - Geschäftsfläche Eigentum oder Miete",,https://ooewohnbau.at/immobiliensuche
155,Ooewohnbau,,,https://ooewohnbau.at/immobiliensuche
156,Ooewohnbau,KUNDENCENTER,,tel:+437327008680
157,Ooewohnbau,KUNDENCENTER,,tel:+437327008680
158,Ooewohnbau,KOSTENLOSE NOTRUFNUMMER,,tel:+43800230014
159,Ooewohnbau,"Blumauerstraße 46, 4020 Linz","Blumauerstraße 46, 4020 Linz",tel:+43732700868
160,Ooewohnbau,"Blumauerstraße 46, 4020 Linz","Blumauerstraße 46, 4020 Linz",tel:+43732700868
161,Ooewohnbau,"Blumauerstraße 46, 4020 Linz","Blumauerstraße 46, 4020 Linz",tel:+43732700868
162,Ooewohnbau,Immobiliensuche,,https://ooewohnbau.at/immobiliensuche
163,Ooewohnbau,Immobiliensuche,,https://ooewohnbau.at/immobiliensuche
164,Ooewohnbau,Vormerkung,,https://ooewohnbau.at/vormerkung
165,Ooewohnbau,AVB,,https://ooewohnbau.at/avb
166,Ooewohnbau,Corporate Governance Kodex für GBV´s,,https://ooewohnbau.at/fileadmin/downloads/GBV-CGK.pdf
